0	11	31	37	-4	2	40	3	3
0	15	28	37	-7	5	45	5	8
0.1	18	24	37	-5	9	39	2	10
0.2	24	19	37	3	5	37	1	12
0.3	25	19	39	4	1	12	4	15
0.4	29	13	37	-3	-7	-2	2	18
0.5	29	14	37	-9	-9	-6	3	21
0.6	28	15	37	-9	-11	-10	3	24
0.7	28	15	38	-9	-7	-14	2	27
0.8	25	18	37	6	-1	-23	5	31
0.9	23	20	37	1	-1	-26	7	38
1	20	23	38	-2	-4	-23	3	41
1.1	18	25	37	-1	-8	-18	22	64
1.2	16	28	39	-5	-6	-21	30	94
1.3	13	30	38	-4	-3	-21	38	132
1.4	12	31	37	1	-1	-19	30	163
1.5	9	32	37	1	3	-8	22	185
1.6	10	31	36	3	0	26	24	209
1.7	13	30	37	1	-14	56	17	226
1.8	23	21	40	-9	-12	-38	26	252
1.9	12	15	20	-20	-17	-20	27	279
2	22	21	37	5	-23	78	57	336
2.1	-14	-24	30	11	24	61	45	381

